id,timestamp,sender,text
1,2026-03-01T09:12:00-08:00,Alex,"Hey, are you free for coffee this week?"
2,2026-03-01T09:18:00-08:00,Jordan,"Possibly Thursday after work."
3,2026-03-01T09:24:00-08:00,Alex,"Thursday works for me."
4,2026-03-01T18:05:00-08:00,Jordan,"Running late today, but Thursday still looks good."
5,2026-03-02T20:42:00-08:00,Alex,"Checking in about tomorrow."
6,2026-03-02T20:48:00-08:00,Jordan,"Yes, still on."
7,2026-03-03T08:10:00-08:00,Alex,"Great, I'll see you at 6."
8,2026-03-03T08:12:00-08:00,Jordan,"Sounds good."
9,2026-03-03T21:04:00-08:00,Alex,"Had a good time tonight."
10,2026-03-03T21:06:00-08:00,Jordan,"Same here."
11,2026-03-03T21:09:00-08:00,Alex,"Want to do dinner next week?"
12,2026-03-03T21:13:00-08:00,Jordan,"I'd be into that."
13,2026-03-03T21:17:00-08:00,Alex,"Wednesday or Friday?"
14,2026-03-03T21:24:00-08:00,Jordan,"Friday is easier."
15,2026-03-03T21:31:00-08:00,Alex,"Friday works."
16,2026-03-03T21:39:00-08:00,Jordan,"Nice, let's plan on that."
17,2026-03-05T23:18:00-08:00,Alex,"Still awake?"
18,2026-03-05T23:21:00-08:00,Jordan,"Barely, yes."
19,2026-03-05T23:32:00-08:00,Alex,"Random thought: rooftop tacos tomorrow?"
20,2026-03-05T23:37:00-08:00,Jordan,"That sounds fun."
21,2026-03-05T23:43:00-08:00,Alex,"There's a place downtown I've wanted to try."
22,2026-03-05T23:51:00-08:00,Jordan,"Send me the name."
23,2026-03-06T00:02:00-08:00,Alex,"Sending it now."
24,2026-03-06T00:05:00-08:00,Alex,"Also they have live music."
25,2026-03-06T00:07:00-08:00,Alex,"And a late menu."
26,2026-03-06T00:11:00-08:00,Alex,"I can book us if you want."
27,2026-03-06T00:18:00-08:00,Jordan,"That works for me."
28,2026-03-08T14:24:00-08:00,Jordan,"Sorry, travel day got hectic."
29,2026-03-08T14:39:00-08:00,Alex,"No problem, hope it went smoothly."
30,2026-03-08T18:40:00-08:00,Jordan,"Back now. Dinner this week?"
31,2026-03-08T18:54:00-08:00,Alex,"Yes, I'm free Wednesday."
31,2026-03-08T18:54:00-08:00,Alex,"Yes, I'm free Wednesday."
